categorie;vraag;bijlage;antwoord;gedaan
0;Waar staat de afkorting GPI voor? \n A: Grote Proces Instructie \n B: Generic Project Instruction \n C: Generieke Project Instructie \n D: Generieke Poort Informatie \n E: Generic Procescyclus Indication  \n F: Generieke Poort Instructie;;F: Generieke Poort Instructie;
0;Waar staat de afkorting OPC voor? \n A: OLE for Process Control \n B: Open Protocol Converter \n C: Oligomerische Proantho Cyanidinen \n D: Originele Parameter Control \n E: Open Pereferische Controller ;C:\Projects\kerstbingo\plaatjes\cat 0 - vraag 2.png;A: OLE for Process Control;
0;In welk jaar begon de ontwikkeling van de programmeertaal C++?;;1979;
0;Wie was de orginele ontwikkelaar van C++?;C:\Projects\kerstbingo\plaatjes\cat 0 - vraag 4.png;Bjarne Stroustrup;
0;In welk jaar werd de eerste commerciële PLC gebouwd?;C:\Projects\kerstbingo\plaatjes\cat 0 - vraag 5.png;1969;
0;Welk model was dat? \n A: ABB Sattline \n B: Siemens S3 \n C: Modicon 084 \n D: ABB T200 \n E: Siemens S5 \n F: Texas Instruments TI164 \n G: Modicon M580;C:\Projects\kerstbingo\plaatjes\cat 0 - vraag 6.png;C: Modicon 084 (Door Bedford Associates in samenwerking met GM);
0;Ken je collega: Welke collega's wonen in Amsterdam?\nLet op 2 antwoorden!\n A: Freek, Jur, Tom, Iwan, Amanuel \n B: Tom, Jur, Erik, Freek, Amanuel \n C: Tom, Ben, Amanuel, Martijn, Rene \n D: Mark, Frank, Reinier, Henk \n E: Julien, Desi, Jur, Richard \n F: Kees, Henk, Iwan, Marco \n G: Iwan, John, Martijn, Jack, Albert \n H: Matthijs, Timo, Rolf, Reinier;;A & F;
0;Ken je collega: Welke collega's rijden in een Mercedes? \n A: Jack, Julien, Ben \n B: Timo, Rolf, Mark \n C: Tom, Martijn, Iwan \n D: Matthijs, Marco, John \n E: Erik Freek, Kees, Richard \n F: Ben, John, Mark \n G: Robin, Rene, Wim;;F: Ben, John & Mark;
0;Ken je collega: Welke collega's reizen met het OV naar het werk? \n A: Henk, Timo, Jeroen, Reinier \n B: Timo, Reinier, Marco, Freek \n C: Richard, Erik, Robin \n D: Frank, Tom, Kees, Jeroen;;A: Henk, Timo, Jeroen, Reinier;
0;Schatting: Hoeveel uren hebben we als TAI-NW dit jaar in totaal verwerkt tm week 50?;;54341;
